Kategori,Kata_Kunci_Indonesia,Kata_Kunci_Inggris
Identitas Pribadi,Nama,Name
Identitas Pribadi,Nama Lengkap,Full Name
Identitas Pribadi,Nama Depan,First Name
Identitas Pribadi,Nama Belakang,Last Name
Identitas Pribadi,Nama Ibu Kandung,Mother's Maiden Name
Identitas Pribadi,NIK,National ID
Identitas Pribadi,Nomor Induk Kependudukan,Social Security Number (SSN)
Identitas Pribadi,Nomor KTP,ID Number
Identitas Pribadi,No. KK,Family Card Number
Identitas Pribadi,Kartu Keluarga,Family Register
Identitas Pribadi,Nomor Paspor,Passport Number
Identitas Pribadi,No. SIM,Driver License Number
Identitas Pribadi,Surat Izin Mengemudi,Driving License
Identitas Pribadi,No. BPJS,Health Insurance Number
Identitas Pribadi,BPJS Kesehatan,National Health Insurance
Identitas Pribadi,BPJS Ketenagakerjaan,Social Security Employment
Identitas Pribadi,Tempat Lahir,Place of Birth / POB
Identitas Pribadi,Tanggal Lahir,Date of Birth / DOB
Identitas Pribadi,Tempat/Tgl Lahir,Place/Date of Birth
Identitas Pribadi,Tgl Lahir,Birth Date
Identitas Pribadi,TTL,DOB
Identitas Pribadi,Usia / Umur,Age
Identitas Pribadi,Berlaku Hingga,Valid Until / Expiry Date
Identitas Pribadi,Masa Berlaku,Validity Period
Kontak & Lokasi,Alamat,Address
Kontak & Lokasi,Alamat Domisili,Residential Address
Kontak & Lokasi,Jalan,Street
Kontak & Lokasi,RT/RW,Neighborhood Unit
Kontak & Lokasi,Kel/Desa,Subdistrict / Village
Kontak & Lokasi,Kelurahan,Subdistrict
Kontak & Lokasi,Desa,Village
Kontak & Lokasi,Kecamatan,District
Kontak & Lokasi,Kabupaten,Regency
Kontak & Lokasi,Kode Pos,Zip Code / Postal Code
Kontak & Lokasi,Kota,City
Kontak & Lokasi,Provinsi,State / Province
Kontak & Lokasi,No. Telepon,Phone Number
Kontak & Lokasi,No. HP,Mobile Number / Cellphone
Kontak & Lokasi,Email / Surel,Email Address
Kontak & Lokasi,Koordinat GPS,GPS Coordinates
Kredensial,Password,Password
Kredensial,Kata Sandi,Passcode
Kredensial,Passphrase,Passphrase
Kredensial,PIN,PIN (Personal Identification Number)
Kredensial,Kode OTP,OTP (One Time Password)
Kredensial,API Key,API Key
Kredensial,Secret Key,Secret Key
Kredensial,Access Token,Access Token
Kredensial,Pertanyaan Keamanan,Security Question
Kredensial,Jawaban Keamanan,Security Answer
Kredensial,Sidik Jari,Fingerprint
Kredensial,Pengenalan Wajah,Face ID
Kredensial,Token Rahasia,Secret Token
Kredensial,Kunci Privat,Private Key
Keuangan,Nomor Rekening,Bank Account Number
Keuangan,No. Rekening,Account Number
Keuangan,No. Rek,Account No
Keuangan,Nomor Kartu Kredit,Credit Card Number
Keuangan,Nomor Kartu Debit,Debit Card Number
Keuangan,CVV / CVC,CVV / CVC Code
Keuangan,NPWP,Tax ID
Keuangan,Nomor Pokok Wajib Pajak,TIN (Taxpayer Identification Number)
Keuangan,SWIFT Code,SWIFT / BIC Code
Keuangan,IBAN,IBAN Number
Keuangan,Kode Bank,Bank Code
Keuangan,Gaji / Upah,Salary / Wage
Keuangan,Pendapatan,Income
Keuangan,Riwayat Transaksi,Transaction History
Kesehatan & Demografi,Rekam Medis,Medical Record
Kesehatan & Demografi,Riwayat Penyakit,Health History
Kesehatan & Demografi,Golongan Darah,Blood Type
Kesehatan & Demografi,Gol. Darah,Blood Group
Kesehatan & Demografi,Asuransi Kesehatan,Health Insurance
Kesehatan & Demografi,Agama,Religion
Kesehatan & Demografi,Kepercayaan,Belief
Kesehatan & Demografi,Jenis Kelamin,Gender / Sex
Kesehatan & Demografi,Status Perkawinan,Marital Status
Kesehatan & Demografi,Status Pernikahan,Marital Status
Kesehatan & Demografi,Pekerjaan,Occupation / Profession
Kesehatan & Demografi,Kewarganegaraan,Citizenship / Nationality
Kesehatan & Demografi,Ras / Etnis,Race / Ethnicity
